ID,Date,Element,Data_Value
GMW00034068,2011-01-09,TMIN,5
GME00121246,2012-10-31,TMAX,120
GMW00034068,2014-08-01,TMIN,148
GMW00034068,2015-06-09,TMAX,202
GME00121246,2007-02-25,TMAX,101
GMW00034068,2011-01-09,TMAX,117
GME00121246,2007-02-25,TMIN,62
GMW00035032,2015-09-03,TMAX,216
GMW00035032,2008-11-05,TMIN,88
GMW00034068,2010-08-21,TMAX,308
GME00121246,2011-10-23,TMIN,-26
GMW00034068,2013-08-21,TMIN,99
GMW00034068,2007-09-21,TMAX,220
GMW00035032,2009-12-25,TMAX,70
GMW00035032,2015-07-07,TMAX,355
GMW00035032,2005-01-31,TMAX,51
GME00121246,2010-06-14,TMIN,123
GMW00035032,2015-09-03,TMIN,104
GMW00034068,2011-08-19,TMIN,134
GME00121246,2008-12-06,TMAX,58
GMW00035032,2005-01-31,TMIN,-24
GMW00034068,2008-01-17,TMAX,88
GMW00035032,2005-10-29,TMIN,87
GMW00034068,2005-02-26,TMIN,-97
GME00121246,2014-04-13,TMAX,175
GME00121246,2014-07-08,TMAX,184
GMW00035032,2015-07-07,TMIN,174
GME00121246,2008-06-23,TMAX,273
GMW00034068,2011-11-23,TMIN,-26
GMW00035032,2010-01-21,TMIN,13
GMW00035032,2008-05-06,TMAX,238
GME00121246,2010-11-20,TMIN,23
GMW00034068,2011-11-28,TMAX,66
GMW00034068,2006-04-27,TMIN,121
GMW00034068,2014-07-20,TMIN,185
GMW00035032,2014-03-25,TMIN,-18
GME00121246,2011-10-22,TMAX,104
GME00121246,2010-11-20,TMAX,91
GMW00034068,2006-04-27,TMAX,161
GMW00034068,2015-03-07,TMIN,-32
GME00121246,2014-11-16,TMIN,84
GME00121246,2008-06-08,TMIN,132
GMW00034068,2005-04-15,TMAX,229
GME00121246,2006-10-24,TMIN,122
GMW00034068,2013-03-17,TMAX,83
GMW00035032,2014-10-01,TMIN,119
GMW00034068,2014-01-19,TMIN,-13
GMW00035032,2008-05-06,TMIN,87
GMW00034068,2011-11-28,TMIN,-18
GMW00034068,2014-04-18,TMIN,27
GME00121246,2010-10-14,TMAX,132
GMW00034068,2012-06-26,TMAX,247
GMW00034068,2014-01-28,TMAX,79
GME00121246,2011-01-18,TMAX,100
GMW00035032,2015-01-16,TMAX,96
GMW00034068,2005-02-26,TMAX,36
GME00121246,2008-03-06,TMAX,61
GMW00035032,2010-09-11,TMAX,232
GMW00034068,2005-09-06,TMIN,151
GMW00034068,2009-10-18,TMIN,-5
GMW00035032,2014-01-21,TMIN,32
GMW00035032,2015-09-17,TMAX,159
GME00121246,2012-10-18,TMIN,65
GMW00034068,2013-08-24,TMAX,251
GME00121246,2015-05-12,TMAX,293
GMW00034068,2009-05-20,TMAX,276
GMW00035032,2006-07-03,TMIN,154
GMW00035032,2007-10-13,TMIN,57
GMW00035032,2013-01-03,TMAX,71
GMW00034068,2006-01-03,TMAX,47
GME00121246,2009-01-13,TMAX,26
GMW00034068,2013-05-26,TMIN,76
GME00121246,2015-02-23,TMIN,1
GMW00034068,2011-09-30,TMIN,84
GMW00034068,2012-06-26,TMIN,124
GMW00035032,2015-05-21,TMIN,40
GMW00035032,2011-11-02,TMIN,57
GMW00035032,2006-05-18,TMIN,136
GMW00035032,2014-06-24,TMAX,251
GME00121246,2006-05-17,TMAX,222
GMW00034068,2015-01-25,TMIN,-60
GME00121246,2015-03-01,TMIN,14
GME00121246,2008-12-06,TMIN,39
GME00121246,2013-06-24,TMIN,133
GMW00035032,2011-03-22,TMAX,165
GMW00035032,2013-09-20,TMAX,173
GME00121246,2013-03-02,TMAX,87
GMW00034068,2013-06-24,TMIN,121
GMW00035032,2006-05-18,TMAX,209
GMW00034068,2010-04-10,TMAX,158
GMW00034068,2015-06-09,TMIN,120
GMW00034068,2015-04-22,TMIN,34
GMW00034068,2005-12-11,TMAX,31
GMW00035032,2009-08-18,TMAX,269
GMW00034068,2015-01-25,TMAX,26
GMW00034068,2011-04-19,TMIN,46
GMW00034068,2008-03-10,TMIN,58
GMW00035032,2014-10-01,TMAX,216
GME00121246,2009-01-13,TMIN,-91
GMW00035032,2011-03-22,TMIN,-6
GME00121246,2010-10-14,TMIN,1
GMW00035032,2015-05-13,TMAX,214
GMW00034068,2005-09-06,TMAX,303
GMW00035032,2007-10-13,TMAX,169
GMW00034068,2014-07-20,TMAX,277
GME00121246,2010-10-01,TMIN,101
GMW00035032,2011-11-08,TMIN,15
GMW00035032,2013-08-14,TMIN,101
GMW00034068,2011-08-19,TMAX,290
GME00121246,2008-09-07,TMAX,205
GMW00034068,2005-01-14,TMAX,65
GMW00034068,2009-07-19,TMIN,135
GMW00035032,2006-03-28,TMIN,72
GME00121246,2012-10-28,TMIN,-39
GME00121246,2012-11-18,TMIN,56
GME00121246,2013-07-27,TMIN,196
GMW00034068,2009-12-14,TMAX,7
GMW00035032,2014-10-31,TMAX,148
GME00121246,2011-06-04,TMIN,162
GME00121246,2012-11-18,TMAX,95
GME00121246,2008-08-15,TMIN,110
GMW00034068,2005-03-04,TMIN,-55
GME00121246,2011-02-12,TMAX,95
GME00121246,2015-05-22,TMAX,210
GMW00034068,2015-06-20,TMAX,189
GME00121246,2008-01-12,TMIN,5
GMW00035032,2015-09-14,TMIN,104
GMW00035032,2015-01-16,TMIN,44
GMW00034068,2012-06-25,TMAX,226
GMW00035032,2012-02-25,TMAX,143
GME00121246,2011-11-05,TMIN,60
GMW00034068,2010-08-17,TMAX,182
GMW00034068,2011-05-30,TMIN,100
GMW00034068,2014-07-12,TMAX,246
GME00121246,2012-02-07,TMAX,-78
GMW00034068,2010-07-28,TMAX,210
GME00121246,2010-06-12,TMAX,242
GMW00034068,2012-10-29,TMIN,-55
GMW00034068,2011-02-28,TMAX,109
GMW00034068,2012-10-29,TMAX,46
GMW00035032,2011-11-20,TMIN,18
GMW00034068,2009-07-19,TMAX,224
GMW00034068,2012-03-15,TMAX,173
GMW00034068,2012-06-12,TMIN,91
GMW00034068,2006-04-08,TMIN,16
GME00121246,2015-02-23,TMAX,47
GME00121246,2006-10-14,TMAX,178
GMW00034068,2008-08-27,TMIN,125
GME00121246,2009-04-29,TMAX,145
GME00121246,2013-07-27,TMAX,368
GME00121246,2012-10-30,TMAX,70
GMW00035032,2013-01-03,TMIN,32
GMW00035032,2011-01-21,TMAX,19
GME00121246,2006-02-05,TMIN,-69
GMW00034068,2014-04-18,TMAX,142
GME00121246,2014-06-27,TMIN,79
GMW00035032,2011-05-25,TMAX,231
GMW00034068,2015-03-07,TMAX,118
GMW00034068,2011-08-10,TMIN,83
GMW00035032,2006-07-12,TMAX,295
GME00121246,2011-08-02,TMIN,121
GMW00035032,2012-03-13,TMAX,97
GMW00035032,2011-11-08,TMAX,129
GME00121246,2011-12-05,TMAX,69
GMW00035032,2015-09-14,TMAX,221
GMW00035032,2006-03-28,TMAX,153
